d,orphaned,mu,estranged
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.06,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.02,0.0
0.0,0.0,0.04,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.08,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.1,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.12,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.14,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.16,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.18,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.0,0.0,0.2,0.0
0.1,0.0,0.02,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.07692307692307693,0.02,0.0
0.1,0.07692307692307693,0.04,1.0
0.1,0.07692307692307693,0.06,0.0
0.1,0.07692307692307693,0.06,0.0
0.1,0.07692307692307693,0.08,0.0
0.1,0.07692307692307693,0.08,1.0
0.1,0.07692307692307693,0.08,0.5
0.1,0.07692307692307693,0.1,0.0
0.1,0.07692307692307693,0.1,0.0
0.1,0.07692307692307693,0.1,0.5
0.1,0.07692307692307693,0.1,0.0
0.1,0.07692307692307693,0.1,0.0
0.1,0.07692307692307693,0.12,0.0
0.1,0.07692307692307693,0.12,0.0
0.1,0.07692307692307693,0.12,0.2
0.1,0.07692307692307693,0.12,0.0
0.1,0.07692307692307693,0.12,0.16666666666666666
0.1,0.07692307692307693,0.14,0.0
0.1,0.07692307692307693,0.14,0.0
0.1,0.07692307692307693,0.14,0.0
0.1,0.07692307692307693,0.14,0.0
0.1,0.07692307692307693,0.14,0.5
0.1,0.07692307692307693,0.16,0.2
0.1,0.07692307692307693,0.16,0.0
0.1,0.07692307692307693,0.16,0.3333333333333333
0.1,0.07692307692307693,0.16,0.0
0.1,0.07692307692307693,0.16,0.1111111111111111
0.1,0.07692307692307693,0.18,0.0
0.1,0.07692307692307693,0.18,0.0
0.1,0.07692307692307693,0.18,0.125
0.1,0.07692307692307693,0.18,0.125
0.1,0.07692307692307693,0.18,0.125
0.1,0.07692307692307693,0.2,0.1111111111111111
0.1,0.07692307692307693,0.2,0.1111111111111111
0.1,0.07692307692307693,0.2,0.1111111111111111
0.1,0.07692307692307693,0.2,0.1111111111111111
0.1,0.07692307692307693,0.2,0.1111111111111111
0.1,0.0,0.04,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.09090909090909091,0.02,0.0
0.1,0.09090909090909091,0.04,0.0
0.1,0.09090909090909091,0.04,0.0
0.1,0.09090909090909091,0.06,0.3333333333333333
0.1,0.09090909090909091,0.08,0.0
0.1,0.09090909090909091,0.08,0.5
0.1,0.09090909090909091,0.08,0.3333333333333333
0.1,0.09090909090909091,0.1,0.0
0.1,0.09090909090909091,0.1,0.0
0.1,0.09090909090909091,0.1,0.0
0.1,0.09090909090909091,0.1,0.2
0.1,0.09090909090909091,0.1,0.0
0.1,0.09090909090909091,0.12,0.0
0.1,0.09090909090909091,0.12,0.0
0.1,0.09090909090909091,0.12,0.3333333333333333
0.1,0.09090909090909091,0.12,0.0
0.1,0.09090909090909091,0.12,0.0
0.1,0.09090909090909091,0.14,0.0
0.1,0.09090909090909091,0.14,0.25
0.1,0.09090909090909091,0.14,0.25
0.1,0.09090909090909091,0.14,0.0
0.1,0.09090909090909091,0.14,0.3333333333333333
0.1,0.09090909090909091,0.16,0.16666666666666666
0.1,0.09090909090909091,0.16,0.0
0.1,0.09090909090909091,0.16,0.125
0.1,0.09090909090909091,0.16,0.2
0.1,0.09090909090909091,0.16,0.16666666666666666
0.1,0.09090909090909091,0.18,0.14285714285714285
0.1,0.09090909090909091,0.18,0.16666666666666666
0.1,0.09090909090909091,0.18,0.16666666666666666
0.1,0.09090909090909091,0.18,0.125
0.1,0.09090909090909091,0.18,0.125
0.1,0.09090909090909091,0.2,0.125
0.1,0.09090909090909091,0.2,0.125
0.1,0.09090909090909091,0.2,0.125
0.1,0.09090909090909091,0.2,0.125
0.1,0.09090909090909091,0.2,0.125
0.1,0.03225806451612903,0.02,0.0
0.1,0.03225806451612903,0.02,0.0
0.1,0.03225806451612903,0.04,0.0
0.1,0.03225806451612903,0.04,0.0
0.1,0.03225806451612903,0.04,0.0
0.1,0.03225806451612903,0.06,0.0
0.1,0.03225806451612903,0.06,0.0
0.1,0.03225806451612903,0.08,0.0
0.1,0.03225806451612903,0.08,0.0
0.1,0.03225806451612903,0.08,0.0
0.1,0.03225806451612903,0.08,0.5
0.1,0.03225806451612903,0.08,0.0
0.1,0.03225806451612903,0.1,0.25
0.1,0.03225806451612903,0.1,0.125
0.1,0.03225806451612903,0.1,0.0
0.1,0.03225806451612903,0.1,0.0
0.1,0.03225806451612903,0.1,0.125
0.1,0.03225806451612903,0.12,0.0
0.1,0.03225806451612903,0.12,0.0
0.1,0.03225806451612903,0.12,0.08333333333333333
0.1,0.03225806451612903,0.12,0.0
0.1,0.03225806451612903,0.12,0.0
0.1,0.03225806451612903,0.14,0.0
0.1,0.03225806451612903,0.14,0.08333333333333333
0.1,0.03225806451612903,0.14,0.16666666666666666
0.1,0.03225806451612903,0.14,0.0
0.1,0.03225806451612903,0.14,0.0
0.1,0.03225806451612903,0.16,0.09090909090909091
0.1,0.03225806451612903,0.16,0.0
0.1,0.03225806451612903,0.16,0.09090909090909091
0.1,0.03225806451612903,0.16,0.0
0.1,0.03225806451612903,0.16,0.07142857142857142
0.1,0.03225806451612903,0.18,0.08333333333333333
0.1,0.03225806451612903,0.18,0.0
0.1,0.03225806451612903,0.18,0.06666666666666667
0.1,0.03225806451612903,0.18,0.07692307692307693
0.1,0.03225806451612903,0.18,0.06666666666666667
0.1,0.03225806451612903,0.2,0.06666666666666667
0.1,0.03225806451612903,0.2,0.06666666666666667
0.1,0.03225806451612903,0.2,0.06666666666666667
0.1,0.03225806451612903,0.2,0.06666666666666667
0.1,0.03225806451612903,0.2,0.06666666666666667
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.058823529411764705,0.04,0.0
0.1,0.058823529411764705,0.04,0.0
0.1,0.058823529411764705,0.04,0.0
0.1,0.058823529411764705,0.06,0.0
0.1,0.058823529411764705,0.06,0.0
0.1,0.058823529411764705,0.06,0.0
0.1,0.058823529411764705,0.08,0.0
0.1,0.058823529411764705,0.08,0.0
0.1,0.058823529411764705,0.08,0.0
0.1,0.058823529411764705,0.08,0.0
0.1,0.058823529411764705,0.1,0.2
0.1,0.058823529411764705,0.1,0.0
0.1,0.058823529411764705,0.1,0.0
0.1,0.058823529411764705,0.12,0.0
0.1,0.058823529411764705,0.12,0.0
0.1,0.058823529411764705,0.12,0.0
0.1,0.058823529411764705,0.12,0.0
0.1,0.058823529411764705,0.12,0.14285714285714285
0.1,0.058823529411764705,0.14,0.0
0.1,0.058823529411764705,0.14,0.0
0.1,0.058823529411764705,0.14,0.3333333333333333
0.1,0.058823529411764705,0.14,0.0
0.1,0.058823529411764705,0.14,0.0
0.1,0.058823529411764705,0.16,0.08333333333333333
0.1,0.058823529411764705,0.16,0.08333333333333333
0.1,0.058823529411764705,0.16,0.08333333333333333
0.1,0.058823529411764705,0.16,0.16666666666666666
0.1,0.058823529411764705,0.16,0.09090909090909091
0.1,0.058823529411764705,0.18,0.08333333333333333
0.1,0.058823529411764705,0.18,0.1111111111111111
0.1,0.058823529411764705,0.18,0.1111111111111111
0.1,0.058823529411764705,0.18,0.09090909090909091
0.1,0.058823529411764705,0.18,0.0
0.1,0.058823529411764705,0.2,0.07692307692307693
0.1,0.058823529411764705,0.2,0.07692307692307693
0.1,0.058823529411764705,0.2,0.07692307692307693
0.1,0.058823529411764705,0.2,0.07692307692307693
0.1,0.058823529411764705,0.2,0.07692307692307693
0.1,0.0,0.04,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.04,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.06,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.08,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.1,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.12,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.14,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.16,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.18,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.1,0.0,0.2,0.0
0.2,0.09090909090909091,0.02,0.0
0.2,0.09090909090909091,0.02,0.0
0.2,0.09090909090909091,0.04,0.0
0.2,0.09090909090909091,0.06,0.0
0.2,0.09090909090909091,0.06,0.0
0.2,0.09090909090909091,0.08,0.0
0.2,0.09090909090909091,0.08,0.0
0.2,0.09090909090909091,0.08,0.3333333333333333
0.2,0.09090909090909091,0.08,0.0
0.2,0.09090909090909091,0.1,0.0
0.2,0.09090909090909091,0.1,0.0
0.2,0.09090909090909091,0.1,0.0
0.2,0.09090909090909091,0.1,0.5
0.2,0.09090909090909091,0.12,0.0
0.2,0.09090909090909091,0.12,0.0
0.2,0.09090909090909091,0.12,0.5
0.2,0.09090909090909091,0.12,0.0
0.2,0.09090909090909091,0.12,0.16666666666666666
0.2,0.09090909090909091,0.14,0.25
0.2,0.09090909090909091,0.14,0.0
0.2,0.09090909090909091,0.14,0.3333333333333333
0.2,0.09090909090909091,0.14,0.2
0.2,0.09090909090909091,0.14,0.2
0.2,0.09090909090909091,0.16,0.2
0.2,0.09090909090909091,0.16,0.25
0.2,0.09090909090909091,0.16,0.0
0.2,0.09090909090909091,0.16,0.2
0.2,0.09090909090909091,0.16,0.2
0.2,0.09090909090909091,0.18,0.0
0.2,0.09090909090909091,0.18,0.25
0.2,0.09090909090909091,0.18,0.0
0.2,0.09090909090909091,0.18,0.14285714285714285
0.2,0.09090909090909091,0.18,0.14285714285714285
0.2,0.09090909090909091,0.2,0.125
0.2,0.09090909090909091,0.2,0.125
0.2,0.09090909090909091,0.2,0.125
0.2,0.09090909090909091,0.2,0.125
0.2,0.09090909090909091,0.2,0.125
0.2,0.0,0.02,0.0
0.2,0.0,0.04,0.0
0.2,0.0,0.04,0.0
0.2,0.0,0.06,0.0
0.2,0.0,0.06,0.0
0.2,0.0,0.06,0.0
0.2,0.0,0.06,0.0
0.2,0.0,0.08,0.0
0.2,0.0,0.08,0.0
0.2,0.0,0.08,0.0
0.2,0.0,0.08,0.0
0.2,0.0,0.08,0.0
0.2,0.0,0.1,0.0
0.2,0.0,0.1,0.0
0.2,0.0,0.1,0.0
0.2,0.0,0.1,0.0
0.2,0.0,0.1,0.0
0.2,0.0,0.12,0.0
0.2,0.0,0.12,0.0
0.2,0.0,0.12,0.0
0.2,0.0,0.12,0.0
0.2,0.0,0.12,0.0
0.2,0.0,0.14,0.0
0.2,0.0,0.14,0.0
0.2,0.0,0.14,0.0
0.2,0.0,0.14,0.0
0.2,0.0,0.14,0.0
0.2,0.0,0.16,0.0
0.2,0.0,0.16,0.0
0.2,0.0,0.16,0.0
0.2,0.0,0.16,0.0
0.2,0.0,0.16,0.0
